제목,평점,스토리작가,그림작가,업데이트 년도,형식,장르,이용가,요약,태그,조회순
도망자,9.88,신영우,신영우,2021,스토리,판타지,12세 이용가,"감옥에 수감된 하태수, 그를 죽이려는 잭, 그를 지키려는 강정오.쫓고 쫓기는 세 명이, 차량전복으로 동시에 기억상실증에 걸리게 되는데...<키드갱> 신영우 작가의 코믹액션이 돌아왔다!","판타지,완결판타지",393
신비,9.98,반지,반지,2022,스토리,로맨스,12세 이용가,긴 잠에서 깨어난 미지의 생명체 신비와 그녀를 사랑하게 된 가람의 사랑 이야기 '나의 뮤즈가 되어 줄래?',"2019 지상최대공모전,인외존재,로판,로맨스,완결로맨스",394
단편 할머니/나는내일죽는다,9.89,태발,태발,2011,스토리,드라마,12세 이용가,"단편 '할머니' / '나는 내일 죽는다'
<프로젝트X> 태발 작가의 강렬한 단편 두 편.","드라마,완결무료,완결드라마",395
라이징패스트볼,9.51,박현수,박현수,2014,스토리,스포츠,전체연령가,고교야구! 야구소년!불꽃같은 그들의 이야기!,"야구,스포츠성장,스포츠,완결스포츠",396
별이삼샵,9.96,혀노,혀노,2022,스토리,드라마,15세 이용가,ㄱ나니? 발신자 제한번호로 그녀에게 마음을 전했던 이야기. '남과여' 혀노 작가가 담아낸 촌스럽지만 풋풋했던 2000년대 그 시절.,"하이틴,청춘로맨스,레트로,드라마",397
"2021 최애캐 안녕, 잘 지내니?",9.88,웹툰작가,웹툰작가,2021,에피소드,드라마,전체연령가,"""잘 지내..? 오늘따라 네가 더 생각난다.""함께 웃고 울었던 웹툰 속 나의 최애캐들.그들은 지금 어떻게 지내고 있을까?우리의 일주일을 책임졌던 최애캐들의 근황을 공개합니다!<2021 최애캐 안녕, 잘 지내니?>","드라마,완결무료,완결드라마",398
몽연,9.78,김종진,김종진,2019,스토리,로맨스,15세 이용가,꿈 속에서 만나는 첫사랑. 아내가... 날 의심한다.,"로맨스,완결로맨스",399
2012 루키 단편선,9.49,웹툰작가,웹툰작가,2012,옴니버스,드라마,전체연령가,"전설적인 작가 이현세, 이두호가 직접 프로듀싱한8명의 신인 작가 단편선 시즌2로 컴백!","드라마,완결무료,완결드라마",400
2020 호랑 공포 단편선,9.88,호랑,호랑,2020,옴니버스,스릴러,15세 이용가,"""진짜 공포를 보여드리겠습니다""<옥수역 귀신><봉천동 귀신>으로대한민국을 공포에 몰아넣었던 호랑작가가2020년 새로운 귀신 이야기로 다시 돌아왔다!","스릴러,완결무료,완결스릴러",401
동트는 로맨스,9.98,유월,유월,2021,스토리,로맨스,전체연령가,"필름이 끊긴 사이, 짝사랑 후배와 무슨 일이...?!어리둥절해도 어쨌든 해는 뜬다, 귀염뽀짝 청춘로맨스","로맨스코미디,캠퍼스로맨스,친구>연인,연상연하,로맨스,완결로맨스",402
구름이 피워낸 꽃,9.91,비온후,비온후,2021,스토리,로맨스,전체연령가,이름뿐인 왕녀에서 진정한 왕녀로!아름다운 연꽃 아래 가려진 궁중 로맨스,"삼각관계,로맨스,완결로맨스",403
피에는 피,9.97,연제원,연제원,2018,스토리,스릴러,18세 이용가,"버려진 남파간첩,통일 한국에서 벌어지는 그의 처절한 복수극",,404
에피소드메이비,9.86,정마루,정마루,2008,스토리,로맨스,12세 이용가,"사랑의 서로 다른 시각
또 각자의 이야기 그리고 그들의 꿈... Maybe…","로맨스,완결무료,완결로맨스",405
언더프린,9.95,브림스,브림스,2015,스토리,판타지,12세 이용가,삶의 가장 큰 의미인 가족을 지키기 위한그의 눈부신 사투가 시작된다.,"판타지,완결판타지",406
용비불패 완전판,9.98,류기운,문정후,2020,스토리,무협/사극,15세 이용가,전설적 명작의 완벽한 부활!무협의 최고봉을 다시 만나다!!,"무협/사극,완결무협/사극",407
